crate_id,name,repository,downloads,top_category,all_categories,created_year,updated_year,pop_stratum
1852026,vesc,https://github.com/ikalnytskyi/vesc-rs,600,automotive,"automotive,embedded,no-std,no-std::no-alloc,parser-implementations",2025,2025,low
639610,partiql-conformance-tests,https://github.com/partiql/partiql-lang-rust,18650,compilers,"compilers,database,parser-implementations",2025,2025,mid
1356366,hamlib-client,https://github.com/sardylan/rust-hamlib-client.git,1349,uncategorized,,2024,2024,low
455817,matching-network-rs,https://github.com/urbanij/matching-network-rs,1648,uncategorized,,2021,2021,low
54491,ina219,https://github.com/scttnlsn/ina219,38155,uncategorized,,2024,2024,high
750324,tackler-core,https://github.com/tackler-ng/tackler,9903,finance,"finance,parser-implementations",2025,2025,mid
675296,more-di,https://github.com/commonsensesoftware/more-rs-di,18694,uncategorized,,2023,2023,mid
1577304,kwd,https://github.com/spi-ca/kwd,782,uncategorized,,2025,2025,low
1303143,human-number,https://github.com/jdrouet/pretty-number,12739,value-formatting,value-formatting,2024,2024,mid
1662028,rusimg,https://github.com/yotiosoft/rusimg,1613,multimedia,multimedia::images,2025,2025,low
306134,is_not,https://github.com/tylerhawkes/is_not,63855,config,"config,no-std,rust-patterns",2020,2020,high
1217325,get-hash,https://github.com/vybgss/get-hash,6990,command-line-utilities,"command-line-utilities,cryptography,mathematics",2024,2024,mid
1804095,galaxy_save_data,https://github.com/ThatNintendoNerd/galaxy_save_data,383,uncategorized,,2025,2025,low
933430,sea-orm-newtype,https://github.com/deepgreenAN/sea-orm-newtype,2459,database,database,2023,2023,low
880987,solders-transaction-status-enums,https://github.com/kevinheavey/solders,6835,uncategorized,,2024,2024,mid
417654,mysqlbinlog-network,https://github.com/jiuker/mysqlbinlog_network,11289,database,database,2021,2021,mid
1279330,solana-sanitize,https://github.com/anza-xyz/solana-sdk,3057200,uncategorized,,2025,2025,high
1011443,hashing-reader,https://github.com/cisco-open/hashing-reader-rs,3545,uncategorized,,2023,2023,low
1557073,rustyray-sys,https://github.com/wizzymore/rustyray,9123,uncategorized,,2025,2025,mid
1557632,google-cloud-tasks-v2,https://github.com/googleapis/google-cloud-rust/tree/main,8148,network-programming,network-programming,2025,2025,mid
1005239,machine-check-common,https://github.com/onderjan/machine-check,20644,uncategorized,,2025,2025,mid
1655238,grid-arcium-fork,https://github.com/arcium-hq/grid/tree/row-and-column-getter,1942,data-structures,"data-structures,science",2025,2025,low
966955,kanha,https://github.com/pwnwriter/kanha,4051,accessibility,"accessibility,web-programming",2023,2023,low
798066,rsincrond,https://github.com/mfwre/rsincron,1155,uncategorized,,2023,2023,low
1620238,moldau,https://github.com/ryanccn/moldau.git,3026,uncategorized,,2025,2025,low
1730549,zod-rs-util,https://github.com/maulanasdqn/zod-rs,1289,data-structures,"data-structures,parser-implementations",2025,2025,low
607811,ornithology-cli,https://github.com/jonhoo/ornithology,2741,command-line-utilities,command-line-utilities,2022,2022,low
1310917,unco_derives,https://github.com/theta-vn/unco,2376,uncategorized,,2024,2024,low
1565815,rust-matrix,https://github.com/mpj-chandler/rust-matrix,789,mathematics,mathematics,2025,2025,low
646507,quantizr,https://github.com/DarthSim/quantizr,5021,uncategorized,,2025,2025,low
171267,thiserror,https://github.com/dtolnay/thiserror,622370133,no-std,"no-std,rust-patterns",2025,2025,high
1902488,unitx-api,https://github.com/mrteesoft/unitx,118,science,"science,web-programming::http-server",2025,2025,low
526577,timediff,https://github.com/lryong/timediff,16033,date-and-time,date-and-time,2022,2022,mid
1789343,maytrix-value,https://github.com/iSynaptic/maytrix-libs,390,uncategorized,,2025,2025,low
1157481,psp34-full,https://github.com/Cardinal-Cryptography/PSP34,1584,cryptography,"cryptography::cryptocurrencies,wasm",2024,2024,low
1121974,graphile_worker_crontab_runner,https://github.com/leo91000/graphile_worker/crates/crontab_runner,13530,uncategorized,,2025,2025,mid
782920,pawprint,https://github.com/picoHz/pawprint,3768,cryptography,"cryptography,network-programming",2023,2023,low
1382450,bare_err_tree_proc,https://github.com/Bennett-Petzold/bare_err_tree,11412,development-tools,"development-tools::debugging,no-std::no-alloc,rust-patterns",2025,2025,mid
1011894,unicode-display-width,https://github.com/jameslanska/unicode-display-width/,42576,text-editors,"text-editors,text-processing",2023,2023,high
669024,bl702-hal,https://github.com/9names/bl702-hal,4247,embedded,"embedded,hardware-support,no-std",2022,2022,low
1789485,openai-sdk-rs,https://github.com/neeboo/openai-sdk-rs,815,api-bindings,"api-bindings,asynchronous,web-programming",2025,2025,low
1640792,color-rs2,https://github.com/jqnatividad/color-rs2,6056,uncategorized,,2025,2025,mid
